,SYMBOL_A,UNIPROT_AC_A,INTERACTION_TYPE,SYMBOL_B,UNIPROT_AC_B,SOURCE
0,GGA2,Q9UJY4,,ARF1,P84080,APID
1,GGA2,Q9UJY4,,MPRI,P11717,APID
2,GGA2,Q9UJY4,,HGS,O14964,APID
3,GGA2,Q9UJY4,,ARF6,P62331,APID
4,GGA2,Q9UJY4,,HD,P42858,APID
5,GGA2,Q9UJY4,,CAH8,P35219,APID
6,GGA2,Q9UJY4,,MEMO1,Q9Y316,APID
7,GGA2,Q9UJY4,,PIN1,Q13526,APID
8,GGA2,Q9UJY4,,TRI23,P36406,APID
9,GGA2,Q9UJY4,,EPN4,Q14677,APID
10,GGA2,Q9UJY4,,BACE1,P56817,APID
11,GGA2,Q9UJY4,,GGA2,Q9UJY4,APID
12,GGA2,Q9UJY4,,CLH1,Q00610,APID
13,GGA2,Q9UJY4,,ARF1,P84077,APID
14,GGA2,Q9UJY4,,ARF3,P61204,APID
15,GGA2,Q9UJY4,,MPRD,P20645,APID
16,GGA2,Q9UJY4,,NECP2,Q9NVZ3,APID
17,GGA2,Q9UJY4,,BACE2,Q9Y5Z0,APID
18,GGA2,Q9UJY4,,VPS18,Q9P253,APID
19,GGA2,Q9UJY4,,GGA3,Q9NZ52,APID
20,GGA2,Q9UJY4,,A4,P05067,APID
21,GGA2,Q9UJY4,,MAP1A,P78559,APID
22,GGA2,Q9UJY4,,RNF11,Q9Y3C5,APID
23,GGA2,Q9UJY4,,TOLIP,Q9H0E2,APID
24,GGA2,Q9UJY4,,Q7CIS3,Q7CIS3,APID
25,GGA2,Q9UJY4,,RABX5,O18973,APID
26,GGA2,Q9UJY4,,CLH1,P49951,APID
27,GGA2,Q9UJY4,,M3K1,Q62925,APID
28,GGA2,Q9UJY4,,SYNRG,Q9UMZ2,APID
29,GGA2,Q9UJY4,,RABE1,Q15276,APID
30,GGA2,Q9UJY4,,SORT,Q99523,APID
31,GGA2,Q9UJY4,,CLH1,P11442,APID
32,GGA2,Q9UJY4,,MPRI,Q07113,APID
33,GGA2,Q9UJY4,,LRP3,O75074,APID
34,GGA2,Q9UJY4,,SORL,Q92673,APID
35,GGA2,Q9UJY4,,O41957,O41957,APID
36,GGA2,Q9UJY4,,ATX1,P54253,APID
37,GGA2,Q9UJY4,,XPO1,Q6P5F9,APID
38,GGA2,Q9UJY4,,GOGA2,Q08379,APID
39,GGA2,Q9UJY4,,SPG21,Q9NZD8,APID
40,GGA2,Q9UJY4,,RT4I1,Q8WWV3,APID
41,GGA2,Q9UJY4,,AFTIN,Q6ULP2,APID
42,GGA2,Q9UJY4,,RABX5,Q9UJ41,APID
43,GGA2,Q9UJY4,,CCD91,Q7Z6B0,APID
44,GGA2,Q9UJY4,,STAB1,Q9NY15,APID
45,GGA2,Q9UJY4,,GGA1,Q9UJY5,APID
46,GGA2,Q9UJY4,,CPLX1,O14810,APID
47,GGA2,Q9UJY4,,TERA,P55072,APID
48,GGA2,Q9UJY4,,UBI4P,P0CG63,APID
49,GGA2,Q9UJY4,,M3K1,Q13233,APID
50,GGA2,Q9UJY4,,XPO1,O14980,APID
51,SQSTM,Q13501,,Q7CGR8,Q7CGR8,APID
52,SQSTM,Q13501,,VIF,P12504,APID
53,SQSTM,Q13501,,UBC,P0CG48,APID
54,SQSTM,Q13501,,TRAF6,Q9Y4K3,APID
55,SQSTM,Q13501,,MLP3C,Q9BXW4,APID
56,SQSTM,Q13501,,MLP3A,Q9H492,APID
57,SQSTM,Q13501,,GBRL2,P60520,APID
58,SQSTM,Q13501,,CASP8,Q14790,APID
59,SQSTM,Q13501,,UBB,P0CG47,APID
60,SQSTM,Q13501,,AINX,Q16352,APID
61,SQSTM,Q13501,,CRNN,Q9UBG3,APID
62,SQSTM,Q13501,,MARK2,Q7KZI7,APID
63,SQSTM,Q13501,,ECHA,P40939,APID
64,SQSTM,Q13501,,MICU1,Q9BPX6,APID
65,SQSTM,Q13501,,TR61B,Q9BVS5,APID
66,SQSTM,Q13501,,EMIL3,Q9NT22,APID
67,SQSTM,Q13501,,OSBL8,Q9BZF1,APID
68,SQSTM,Q13501,,LAGE3,Q14657,APID
69,SQSTM,Q13501,,DIP2B,Q9P265,APID
70,SQSTM,Q13501,,MICU2,Q8IYU8,APID
71,SQSTM,Q13501,,STK3,Q13188,APID
72,SQSTM,Q13501,,BL1S5,Q8TDH9,APID
73,SQSTM,Q13501,,TCAL2,Q9H3H9,APID
74,SQSTM,Q13501,,K2C4,P19013,APID
75,SQSTM,Q13501,,TMX1,Q9H3N1,APID
76,SQSTM,Q13501,,ABHDA,Q9NUJ1,APID
77,SQSTM,Q13501,,RM38,Q96DV4,APID
78,SQSTM,Q13501,,PEO1,Q96RR1,APID
79,SQSTM,Q13501,,TF3C1,Q12789,APID
80,SQSTM,Q13501,,ECHB,P55084,APID
81,SQSTM,Q13501,,ARIP4,Q9Y4B4,APID
82,SQSTM,Q13501,,YMEL1,Q96TA2,APID
83,SQSTM,Q13501,,L2GL1,Q15334,APID
84,SQSTM,Q13501,,NFM,P07197,APID
85,SQSTM,Q13501,,GSLG1,Q92896,APID
86,SQSTM,Q13501,,HLAH,P01893,APID
87,SQSTM,Q13501,,CDC45,O75419,APID
88,SQSTM,Q13501,,EPDR1,Q9UM22,APID
89,SQSTM,Q13501,,NIPS1,Q9BPW8,APID
