"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",Protein-coding gene in the species Homo sapiens.
Arf-GAP with dual PH domain-containing protein 1,GTPase-activating protein for the ADP ribosylation factor family.
Arf-GAP domain and FG repeat-containing protein 1,Arf-GAP domain and FG repeats-containing protein 1 is a protein that in humans is encoded by the AGFG1 gene.
Annexin A4,Calcium/phospholipid-binding protein which promotes membrane fusion and is involved in exocytosis.
Aurora kinase C,Serine/threonine-protein kinase 13 is an enzyme that in humans is encoded by the AURKC gene.
BRCA2 and CDKN1A-interacting protein,BRCA2 and CDKN1A-interacting protein is a protein that in humans is encoded by the BCCIP gene.
Beclin-1,Beclin-1 is a protein that in humans is encoded by the BECN1 gene.
B2 bradykinin receptor,"Bradykinin receptor B2 is a G-protein coupled receptor for bradykinin, encoded by the BDKRB2 gene in humans."
Breast cancer type 2 susceptibility protein,"BRCA2 and BRCA2 () are a human gene and its protein product, respectively."
Calreticulin,"Calcium-binding chaperone that promotes folding, oligomeric assembly and quality control in the endoplasmic reticulum (ER) via the calreticulin/calnexin cycle."
Caveolin-1,May act as a scaffolding protein within caveolar membranes. Interacts directly with G-protein alpha subunits and can functionally regulate their activity (By similarity).
F-actin-capping protein subunit alpha-2,F-actin-capping protein subunit alpha-2 also known as CapZ-alpha2 is a protein that in humans is encoded by the CAPZA2 gene.
Cell division control protein 42 homolog,"Cell division control protein 42 homolog, also known as Cdc42, is a protein involved in regulation of the cell cycle."
Cyclin-dependent kinase 1,Cyclin-dependent kinase 1 also known as CDK1 or cell division cycle protein 2 homolog is a highly conserved protein that functions as a serine/threonine kinase.
Clathrin heavy chain 1,Clathrin heavy chain 1 is a protein that in humans is encoded by the CLTC gene.
Cullin-2,Cullin-2 is a protein that in humans is encoded by the CUL2 gene.
Serine/threonine-protein kinase DCLK1,Serine/threonine-protein kinase DCLK1 is an enzyme that in humans is encoded by the DCLK1 gene.
Myotonin-protein kinase,Functions as a sorting receptor in the Golgi compartment and as a clearance receptor on the cell surface.
DNA polymerase delta catalytic subunit,"The gene polymerase delta 1 (POLD1) encodes the large, POLD1/p125, catalytic subunit of the DNA polymerase delta (Polδ) complex."
"Interferon-induced, double-stranded RNA-activated protein kinase","Protein kinase RNA-activated also known as protein kinase R (PKR), interferon-induced, double-stranded RNA-activated protein kinase."
Protein enabled homolog,Ena/VASP proteins are actin-associated proteins involved in a range of processes dependent on cytoskeleton.
Fanconi anemia group J protein,Fanconi anemia group J protein is a protein that in humans is encoded by the BRCA1-interacting protein 1 (BRIP1) gene.
ADP-ribosylation factor-binding protein GGA2,ADP-ribosylation factor-binding protein GGA2 is a protein that in humans is encoded by the GGA2 gene.
Glucosamine 6-phosphate N-acetyltransferase,N-acetyltransferase is an enzyme that catalyzes the transfer of acetyl groups from acetyl-CoA to arylamines.
Heat shock factor protein 4,Heat shock factor protein 4 is a protein that in humans is encoded by the HSF4 gene.
Interferon-induced protein with tetratricopeptide repeats 3,Interferon-induced protein with tetratricopeptide repeats 3 is a protein that in humans is encoded by the IFIT3 gene.
Interleukin enhancer-binding factor 3,Interleukin enhancer-binding factor 3 is a protein that in humans is encoded by the ILF3 gene.
Integrin alpha-V,Integrin alpha-V is a protein that in humans is encoded by the ITGAV gene.
Kinesin-like protein KIF3A,Kinesin-like protein KIF3A is a protein that in humans is encoded by the KIF3A gene.
Katanin p80 WD40 repeat-containing subunit B1,Katanin p80 WD40-containing subunit B1 is a protein that in humans is encoded by the KATNB1 gene.
Prelamin-A/C,Lamin A/C also known as LMNA is a protein that in humans is encoded by the LMNA gene.
Mitogen-activated protein kinase kinase kinase 8,Mitogen-activated protein kinase kinase kinase 8 is an enzyme that in humans is encoded by the MAP3K8 gene.
Myocyte-specific enhancer factor 2D,Myocyte-specific enhancer factor 2D is a protein that in humans is encoded by the MEF2D gene.
Mitogen-activated protein kinase 3,Mitogen-activated protein kinase 3 is an enzyme that in humans is encoded by the MAPK3 gene.
Dual specificity mitogen-activated protein kinase kinase 4,Dual specificity mitogen-activated protein kinase kinase 4 is an enzyme that in humans is encoded by the MAP2K4 gene.
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 is an enzyme that in humans is encoded by the NDUFA13 gene.
Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform (PP2BA) is a protein that in humans is encoded by the PPP3CA gene.
Tyrosine-protein phosphatase non-receptor type 1,Tyrosine-protein phosphatase non-receptor type 1 is an enzyme that is the founding member of the protein tyrosine phosphatase (PTP) family.
Rab5 GDP/GTP exchange factor,Rab5 GDP/GTP exchange factor is a protein that in humans is encoded by the RABGEF1 gene.
Ras-related protein Rap-2a,Ras-related protein Rap-2a is a protein that in humans is encoded by the RAP2A gene.
Ras-related protein Rab-27A,Ras-related protein Rab-27A is a protein that in humans is encoded by the RAB27A gene.
Histone-binding protein RBBP4,"Histone-binding protein RBBP4 (also known as RbAp48, or NURF55) is a protein that in humans is encoded by the RBBP4 gene."
Serine incorporator 3,Serine incorporator 3 is a protein that in humans is encoded by the SERINC3 gene.
S-phase kinase-associated protein 1,Skp1 (S-phase kinase-associated protein 1) is a small protein of approximately 160 amino acids.
Sortilin,Functions as a sorting receptor in the Golgi compartment and as a clearance receptor on the cell surface.
Transcription factor PU.1,Transcription factor PU.1 is a protein that in humans is encoded by the SPI1 gene.
Sequestosome-1,Sequestosome-1 is a protein that in humans is encoded by the SQSTM1 gene.
Serum response factor,SRF is a transcription factor that binds to the serum response element.
Signal transducer and activator of transcription 1-alpha/beta,Signal transducer and activator of transcription 1 (STAT1) is a transcription factor which in humans is encoded by the STAT1 gene.
Signal transducer and activator of transcription 3,Signal transducer and activator of transcription 3 (STAT3) is a transcription factor which in humans is encoded by the STAT3 gene.
Signal transducer and activator of transcription 6,Signal transducer and activator of transcription 6 (STAT6) is a human gene.
Tubulin alpha-4A chain,Tubulin alpha-4A chain is a protein that in humans is encoded by the TUBA4A gene.
Tumor necrosis factor ligand superfamily member 6,"Cytokine that binds to TNFRSF6/FAS, a receptor that transduces the apoptotic signal into cells."
Ubiquitin-conjugating enzyme E2 L3,"Ubiquitin-conjugating enzyme E2 L3 (UBE2L3), also called UBCH7, is a protein that in humans is encoded by the UBE2L3 gene."
