SYMBOL  A,UNIPROT AC A,INTERACTION TYPE,SYMBOL B,UNIPROT AC B,SOURCE
CALR,P27797,,K1C17,Q04695,APID
CALR,P27797,,MARE3,Q9UPY8,APID
CALR,P27797,,PERF,P14222,APID
CALR,P27797,,VWF,P04275,APID
CALR,P27797,,CALX,P27824,APID
STAT1,P42224,,PGFRA,P16234,APID
STAT1,P42224,,EP300,Q09472,APID
STAT1,P42224,,IRF1,P10914,APID
STAT1,P42224,,IKBA,P25963,APID
STAT1,P42224,,KS6B1,P23443,APID
STAT1,P42224,,FANCE,Q9HB96,APID
STAT1,P42224,,STAT2,P52630,APID
STAT1,P42224,,FOS,P01100,APID
STAT1,P42224,,JAK1,P23458,APID
RBBP4,Q09028,,FOG1,Q8IX07,APID
RBBP4,Q09028,,MTA1,Q13330,APID
RBBP4,Q09028,,HAT1,O14929,APID
RBBP4,Q09028,,CBP,Q92793,APID
RBBP4,Q09028,,TERA,P55072,APID
RBBP4,Q09028,,LIN9,Q5TKA1,APID
RBBP4,Q09028,,MBD3,O95983,APID
MEF2D,Q14814,,EP300,Q09472,APID
MEF2D,Q14814,,HDAC5,Q9UQL6,APID
ITAV,P06756,,TSP1,P07996,APID
ITAV,P06756,,MK01,P28482,APID
M3K8,P41279,,MP2K4,P45985,APID
BRCA2,P51587,,PCNA,P12004,APID
BRCA2,P51587,,SMC3,Q9UQE7,APID
BRCA2,P51587,,FLNA,P21333,APID
BRCA2,P51587,,FANCE,Q9HB96,APID
BRCA2,P51587,,BRCC3,P46736,APID
BRCA2,P51587,,MCPH1,Q8NEM0,APID
BRCA2,P51587,,XRCC3,O43542,APID
BRCA2,P51587,,BUB1B,O60566,APID
BRCA2,P51587,,KAT2B,Q92831,APID
BRCA2,P51587,,BCCIP,Q9P287,APID
BRCA2,P51587,,FANCG,O15287,APID
BRCA2,P51587,,ERCC5,P28715,APID
LMNA,P02545,,NU153,P49790,APID
LMNA,P02545,,PCBP1,Q15365,APID
LMNA,P02545,,WDR18,Q9BV38,APID
LMNA,P02545,,LBR,Q14739,APID
LMNA,P02545,,TM201,Q5SNT2,APID
LMNA,P02545,,ELYS,Q8WYP5,APID
LMNA,P02545,,P121A,Q96HA1,APID
LMNA,P02545,,NUP98,P52948,APID
LMNA,P02545,,NU133,Q8WUM0,APID
LMNA,P02545,,GANP,O60318,APID
LMNA,P02545,,MLIP,Q5VWP3,APID
SQSTM,Q13501,,UBC,P0CG48,APID
SQSTM,Q13501,,TRAF6,Q9Y4K3,APID
SQSTM,Q13501,,MLP3C,Q9BXW4,APID
SQSTM,Q13501,,GRIA1,P42261,APID
SQSTM,Q13501,,FUS,P35637,APID
SQSTM,Q13501,,MTOR,P42345,APID
SQSTM,Q13501,,KS6B1,P23443,APID
SQSTM,Q13501,,HSP74,P34932,APID
SQSTM,Q13501,,ULK2,Q8IYT8,APID
SQSTM,Q13501,,MK01,P28482,APID
SQSTM,Q13501,,ISG15,P05161,APID
SQSTM,Q13501,,KLHL3,Q9UH77,APID
SQSTM,Q13501,,KPCI,P41743,APID
SQSTM,Q13501,,GBRAP,O95166,APID
SQSTM,Q13501,,DVL2,O14641,APID
SQSTM,Q13501,,INSR,P06213,APID
SQSTM,Q13501,,GRP78,P11021,APID
AURKC,Q9UQB9,,H31,P68431,APID
IFIT3,O14879,,IFIT5,Q13325,APID
MP2K4,P45985,,MK01,P28482,APID
KTNB1,Q9BVA0,,MSH3,P20585,APID
SKP1,P63208,,IKBA,P25963,APID
SKP1,P63208,,FBXL4,Q9UKA2,APID
SKP1,P63208,,FBX5,Q9UKT4,APID
TNFL6,P48023,,FADD,Q13158,APID
TNFL6,P48023,,SRC,P12931,APID
TNFL6,P48023,,SNX18,Q96RF0,APID
TNFL6,P48023,,TR10B,O14763,APID
TNFL6,P48023,,PK3CA,P42336,APID
TNFL6,P48023,,SNX33,Q8WV41,APID
TNFL6,P48023,,P85A,P27986,APID
TNFL6,P48023,,NCF1,P14598,APID
ANXA4,P09525,,DJB11,Q9UBS4,APID
ANXA4,P09525,,PADI4,Q9UM07,APID
NDUAD,Q9P0J0,,NDUA9,Q16795,APID
NDUAD,Q9P0J0,,NDUF4,Q9P032,APID
NDUAD,Q9P0J0,,ATP5J,P18859,APID
NDUAD,Q9P0J0,,UCRI,P47985,APID
NDUAD,Q9P0J0,,TIM23,O14925,APID
NDUAD,Q9P0J0,,ADT3,P12236,APID
NDUAD,Q9P0J0,,YMEL1,Q96TA2,APID
NDUAD,Q9P0J0,,ACAD9,Q9H845,APID
NDUAD,Q9P0J0,,ECSIT,Q9BQ95,APID
NDUAD,Q9P0J0,,NDUV3,P56181,APID
NDUAD,Q9P0J0,,NDUA3,O95167,APID
NDUAD,Q9P0J0,,NDUS6,O75380,APID
NDUAD,Q9P0J0,,NDUS8,O00217,APID
NDUAD,Q9P0J0,,NDUAC,Q9UI09,APID
NDUAD,Q9P0J0,,NDUS3,O75489,APID
STAT3,P40763,,P85B,O00459,APID
STAT3,P40763,,TWST1,Q15672,APID
STAT3,P40763,,CBL,P22681,APID
STAT3,P40763,,MYOD1,P15172,APID
STAT3,P40763,,MK01,P28482,APID
STAT3,P40763,,EP300,Q09472,APID
BCCIP,Q9P287,,GRWD1,Q9BQ67,APID
