SYMBOL_A,UNIPROT_AC_A,INTERACTION_TYPE,SYMBOL_B,UNIPROT_AC_B,SOURCE
ABI1,A0A0A0MRT6,physical,ENAH,Q8N8S7,BIOGRID
CUL7,Q14999,physical,SKP1,P63208,BIOGRID
SUV39H1,O43463,physical,RBBP4,Q09028,BIOGRID
LMNA,P02545,physical,PMS2,B4DGM0,BIOGRID
NASP,P49321,physical,RBBP4,Q09028,BIOGRID
IFNGR1,A0A0S2Z3Y2,physical,STAT1,P42224,BIOGRID
ARID4A,A0A024R657,physical,RBBP4,Q09028,BIOGRID
CUL1,A0A090N7U0,physical,SKP1,P63208,BIOGRID
SORT1,Q99523,physical,APTX,Q7Z2E3,BIOGRID
FBXL5,Q9UKA1,physical,SKP1,P63208,BIOGRID
IFIT3,O14879,physical,CDC37,A0A024R7B7,BIOGRID
CDKN1A,A0A024RCX5,physical,BCCIP,Q9P287,BIOGRID
GPS1,A0A096LP07,physical,SKP1,P63208,BIOGRID
EIF2AK2,P19525,physical,PRKRA,B4DJC7,BIOGRID
LMNA,P02545,physical,CA5A,P35218,BIOGRID
STAT3,P40763,physical,TM4SF19,B7ZW46,BIOGRID
BRCA2,P51587,physical,POLH,A0A024RD62,BIOGRID
LMNA,P02545,physical,LEMD3,A0A024RBB9,BIOGRID
ERBB2,F5H1T4,physical,STAT1,P42224,BIOGRID
LMNA,P02545,physical,TOR1AIP1,J3KN66,BIOGRID
MYC,A0A087WVR4,physical,TUBA4A,P68366,BIOGRID
EDIL3,O43854,physical,ITGAV,P06756,BIOGRID
TOLLIP,B3KR28,physical,SQSTM1,Q13501,BIOGRID
STAT1,P42224,physical,PPP2R4,B4DZF8,BIOGRID
TARDBP,A0A024R4E2,physical,SQSTM1,Q13501,BIOGRID
SQSTM1,Q13501,physical,UBC,P0CG48,BIOGRID
GGA2,Q9UJY4,physical,CLINT1,A0A0S2Z4Y4,BIOGRID
IFIT1,P09914,physical,IFIT3,O14879,BIOGRID
SPI1,P17947,physical,MECP2,A0A140VKC4,BIOGRID
CALR,P27797,physical,F8,P00451,BIOGRID
CALR,P27797,physical,CANX,P27824,BIOGRID
SERINC3,Q13530,physical,VDAC2,A0A024QZT0,BIOGRID
HCVgp1,,physical,STAT3,P40763,BIOGRID
IFNAR2,P48551,physical,STAT1,P42224,BIOGRID
METAP2,A0A140VJE3,physical,EIF2AK2,P19525,BIOGRID
MAP1LC3B,Q658J6,physical,SQSTM1,Q13501,BIOGRID
LMNA,P02545,physical,HNRNPA0,Q13151,BIOGRID
SQSTM1,Q13501,physical,GABARAP,O95166,BIOGRID
OPTN,Q96CV9,physical,SQSTM1,Q13501,BIOGRID
MMP7,P09237,physical,FASLG,P48023,BIOGRID
BRCA2,P51587,physical,ERCC5,P28715,BIOGRID
EIF2AK2,P19525,physical,ILF3,A0A024R7C7,BIOGRID
NTRK1,P04629,physical,EIF2AK2,P19525,BIOGRID
TRAF2,A0A024R8H5,physical,IFIT3,O14879,BIOGRID
SKP1,P63208,physical,CACYBP,A0A024R904,BIOGRID
REL,Q04864,physical,MAP3K8,P41279,BIOGRID
BCCIP,Q9P287,physical,CRCP,A0A024RDL0,BIOGRID
CALR,P27797,physical,HLA-A,B1PKY1,BIOGRID
STAT1,P42224,physical,SMURF1,Q9HCE7,BIOGRID
LMNA,P02545,physical,YKT6,A4D2J0,BIOGRID
MAP3K8,P41279,physical,NFKB2,Q00653,BIOGRID
PRKACA,A0A024R7J0,physical,MEF2D,Q14814,BIOGRID
SQSTM1,Q13501,physical,ATG7,B3KQM6,BIOGRID
PSMA2,A0A024RA52,physical,SKP1,P63208,BIOGRID
RHOU,A0A024R3Q7,physical,ANXA4,P09525,BIOGRID
ZYX,Q15942,physical,ENAH,Q8N8S7,BIOGRID
FBXO17,Q96EF6,physical,SKP1,P63208,BIOGRID
PSMC4,A8K2M0,physical,TUBA4A,P68366,BIOGRID
MAP3K2,A0A024RAH0,physical,MAP2K4,P45985,BIOGRID
MSH2,P43246,physical,STAT3,P40763,BIOGRID
PELP1,B4DEX7,physical,STAT3,P40763,BIOGRID
IFIT3,O14879,physical,SNRPA1,P09661,BIOGRID
ATF3,P18847,physical,STAT1,P42224,BIOGRID
BTRC,A0A0S2Z4P6,physical,SKP1,P63208,BIOGRID
CDK9,A0A024R880,physical,STAT3,P40763,BIOGRID
RBBP4,Q09028,physical,HAT1,O14929,BIOGRID
HDAC1,Q13547,physical,RBBP4,Q09028,BIOGRID
FBXO44,A0A024R4F9,physical,SKP1,P63208,BIOGRID
SORT1,Q99523,physical,ABCA7,B3KUJ3,BIOGRID
ANXA1,P04083,physical,ANXA4,P09525,BIOGRID
TRAC,,physical,TUBA4A,P68366,BIOGRID
ARPC5,O15511,physical,CALR,P27797,BIOGRID
RB1,A0A024RDV3,physical,STAT3,P40763,BIOGRID
RBBP4,Q09028,physical,MTA1,Q13330,BIOGRID
YWHAQ,P27348,physical,MEF2D,Q14814,BIOGRID
H2AFX,P16104,physical,CALR,P27797,BIOGRID
IQCB1,Q15051,physical,TUBA4A,P68366,BIOGRID
SORT1,Q99523,physical,NGF,P01138,BIOGRID
IFNAR1,P17181,physical,STAT3,P40763,BIOGRID
FLNC,Q14315,physical,MAP2K4,P45985,BIOGRID
LIN54,A0A024RDD8,physical,RBBP4,Q09028,BIOGRID
SPI1,P17947,physical,Crebbp,A0A0U1RQB6,BIOGRID
LMNA,P02545,physical,GTF2F2,A0A024RDU9,BIOGRID
SORT1,Q99523,physical,TCOF1,B4DRA2,BIOGRID
POLR2B,A0A1W2PPT5,physical,TUBA4A,P68366,BIOGRID
STAT1,P42224,physical,KIT,A0A024RDA0,BIOGRID
IFIT3,O14879,physical,SNRPF,P62306,BIOGRID
GDI1,A0A0S2Z3X8,physical,ACAP2,Q15057,BIOGRID
TNIP2,D6RGJ2,physical,MAP3K8,P41279,BIOGRID
RNF2,Q99496,physical,CALR,P27797,BIOGRID
CRHBP,P24387,physical,SQSTM1,Q13501,BIOGRID
