,SYMBOL_A,UNIPROT_AC_A,INTERACTION_TYPE,SYMBOL_B,UNIPROT_AC_B,SOURCE
0,ABI1,A0A0A0MRT6,physical,ENAH,Q8N8S7,BIOGRID
1,CUL7,Q14999,physical,SKP1,P63208,BIOGRID
2,SUV39H1,O43463,physical,RBBP4,Q09028,BIOGRID
3,LMNA,P02545,physical,PMS2,B4DGM0,BIOGRID
4,NASP,P49321,physical,RBBP4,Q09028,BIOGRID
5,IFNGR1,A0A0S2Z3Y2,physical,STAT1,P42224,BIOGRID
6,ARID4A,A0A024R657,physical,RBBP4,Q09028,BIOGRID
7,CUL1,A0A090N7U0,physical,SKP1,P63208,BIOGRID
8,SORT1,Q99523,physical,APTX,Q7Z2E3,BIOGRID
9,FBXL5,Q9UKA1,physical,SKP1,P63208,BIOGRID
10,IFIT3,O14879,physical,CDC37,A0A024R7B7,BIOGRID
11,CDKN1A,A0A024RCX5,physical,BCCIP,Q9P287,BIOGRID
12,GPS1,A0A096LP07,physical,SKP1,P63208,BIOGRID
13,EIF2AK2,P19525,physical,PRKRA,B4DJC7,BIOGRID
14,LMNA,P02545,physical,CA5A,P35218,BIOGRID
15,STAT3,P40763,physical,TM4SF19,B7ZW46,BIOGRID
17,BRCA2,P51587,physical,POLH,A0A024RD62,BIOGRID
18,LMNA,P02545,physical,LEMD3,A0A024RBB9,BIOGRID
19,ERBB2,F5H1T4,physical,STAT1,P42224,BIOGRID
20,LMNA,P02545,physical,TOR1AIP1,J3KN66,BIOGRID
21,MYC,A0A087WVR4,physical,TUBA4A,P68366,BIOGRID
22,EDIL3,O43854,physical,ITGAV,P06756,BIOGRID
23,TOLLIP,B3KR28,physical,SQSTM1,Q13501,BIOGRID
24,STAT1,P42224,physical,PPP2R4,B4DZF8,BIOGRID
25,TARDBP,A0A024R4E2,physical,SQSTM1,Q13501,BIOGRID
26,SQSTM1,Q13501,physical,UBC,P0CG48,BIOGRID
27,GGA2,Q9UJY4,physical,CLINT1,A0A0S2Z4Y4,BIOGRID
28,IFIT1,P09914,physical,IFIT3,O14879,BIOGRID
29,SPI1,P17947,physical,MECP2,A0A140VKC4,BIOGRID
30,CALR,P27797,physical,F8,P00451,BIOGRID
31,CALR,P27797,physical,CANX,P27824,BIOGRID
32,SERINC3,Q13530,physical,VDAC2,A0A024QZT0,BIOGRID
34,HCVgp1,,physical,STAT3,P40763,BIOGRID
35,IFNAR2,P48551,physical,STAT1,P42224,BIOGRID
36,METAP2,A0A140VJE3,physical,EIF2AK2,P19525,BIOGRID
37,MAP1LC3B,Q658J6,physical,SQSTM1,Q13501,BIOGRID
38,LMNA,P02545,physical,HNRNPA0,Q13151,BIOGRID
39,SQSTM1,Q13501,physical,GABARAP,O95166,BIOGRID
40,OPTN,Q96CV9,physical,SQSTM1,Q13501,BIOGRID
41,MMP7,P09237,physical,FASLG,P48023,BIOGRID
42,BRCA2,P51587,physical,ERCC5,P28715,BIOGRID
43,EIF2AK2,P19525,physical,ILF3,A0A024R7C7,BIOGRID
44,NTRK1,P04629,physical,EIF2AK2,P19525,BIOGRID
45,TRAF2,A0A024R8H5,physical,IFIT3,O14879,BIOGRID
46,SKP1,P63208,physical,CACYBP,A0A024R904,BIOGRID
47,REL,Q04864,physical,MAP3K8,P41279,BIOGRID
48,BCCIP,Q9P287,physical,CRCP,A0A024RDL0,BIOGRID
49,CALR,P27797,physical,HLA-A,B1PKY1,BIOGRID
51,STAT1,P42224,physical,SMURF1,Q9HCE7,BIOGRID
52,LMNA,P02545,physical,YKT6,A4D2J0,BIOGRID
53,MAP3K8,P41279,physical,NFKB2,Q00653,BIOGRID
54,PRKACA,A0A024R7J0,physical,MEF2D,Q14814,BIOGRID
55,SQSTM1,Q13501,physical,ATG7,B3KQM6,BIOGRID
56,PSMA2,A0A024RA52,physical,SKP1,P63208,BIOGRID
58,RHOU,A0A024R3Q7,physical,ANXA4,P09525,BIOGRID
59,ZYX,Q15942,physical,ENAH,Q8N8S7,BIOGRID
60,FBXO17,Q96EF6,physical,SKP1,P63208,BIOGRID
61,PSMC4,A8K2M0,physical,TUBA4A,P68366,BIOGRID
62,MAP3K2,A0A024RAH0,physical,MAP2K4,P45985,BIOGRID
63,MSH2,P43246,physical,STAT3,P40763,BIOGRID
64,PELP1,B4DEX7,physical,STAT3,P40763,BIOGRID
65,IFIT3,O14879,physical,SNRPA1,P09661,BIOGRID
66,ATF3,P18847,physical,STAT1,P42224,BIOGRID
67,BTRC,A0A0S2Z4P6,physical,SKP1,P63208,BIOGRID
68,CDK9,A0A024R880,physical,STAT3,P40763,BIOGRID
69,RBBP4,Q09028,physical,HAT1,O14929,BIOGRID
70,HDAC1,Q13547,physical,RBBP4,Q09028,BIOGRID
71,FBXO44,A0A024R4F9,physical,SKP1,P63208,BIOGRID
72,SORT1,Q99523,physical,ABCA7,B3KUJ3,BIOGRID
74,ANXA1,P04083,physical,ANXA4,P09525,BIOGRID
75,TRAC,,physical,TUBA4A,P68366,BIOGRID
76,ARPC5,O15511,physical,CALR,P27797,BIOGRID
77,RB1,A0A024RDV3,physical,STAT3,P40763,BIOGRID
78,RBBP4,Q09028,physical,MTA1,Q13330,BIOGRID
79,YWHAQ,P27348,physical,MEF2D,Q14814,BIOGRID
81,H2AFX,P16104,physical,CALR,P27797,BIOGRID
82,IQCB1,Q15051,physical,TUBA4A,P68366,BIOGRID
83,SORT1,Q99523,physical,NGF,P01138,BIOGRID
84,IFNAR1,P17181,physical,STAT3,P40763,BIOGRID
85,FLNC,Q14315,physical,MAP2K4,P45985,BIOGRID
86,LIN54,A0A024RDD8,physical,RBBP4,Q09028,BIOGRID
87,SPI1,P17947,physical,Crebbp,A0A0U1RQB6,BIOGRID
88,LMNA,P02545,physical,GTF2F2,A0A024RDU9,BIOGRID
89,SORT1,Q99523,physical,TCOF1,B4DRA2,BIOGRID
90,POLR2B,A0A1W2PPT5,physical,TUBA4A,P68366,BIOGRID
91,STAT1,P42224,physical,KIT,A0A024RDA0,BIOGRID
92,IFIT3,O14879,physical,SNRPF,P62306,BIOGRID
93,GDI1,A0A0S2Z3X8,physical,ACAP2,Q15057,BIOGRID
94,TNIP2,D6RGJ2,physical,MAP3K8,P41279,BIOGRID
95,RNF2,Q99496,physical,CALR,P27797,BIOGRID
96,CRHBP,P24387,physical,SQSTM1,Q13501,BIOGRID
97,RPS9,A0A024R4M0,physical,STAT3,P40763,BIOGRID
98,SQSTM1,Q13501,physical,TRAF6,Q9Y4K3,BIOGRID
99,MAP2K4,P45985,physical,KTI12,Q96EK9,BIOGRID
100,SRC,P12931,physical,STAT3,P40763,BIOGRID
101,ULK1,O75385,physical,SQSTM1,Q13501,BIOGRID
102,EIF2AK2,P19525,physical,EDC4,Q6P2E9,BIOGRID
103,EIF2AK2,P19525,physical,HNRNPC,P07910,BIOGRID
104,EIF2AK2,P19525,physical,IFRD1,A4D0U1,BIOGRID
105,SQSTM1,Q13501,physical,PRKCD,A0A024R328,BIOGRID
106,STAT1,P42224,physical,MTOR,P42345,BIOGRID
107,KMT2E,Q8IZD2,physical,RBBP4,Q09028,BIOGRID
109,NIT1,B7Z410,physical,TUBA4A,P68366,BIOGRID
110,FBXW7,G0Z2K0,physical,SKP1,P63208,BIOGRID
112,SKP1,P63208,physical,ZC3HC1,C9J0I9,BIOGRID
114,HDAC4,P56524,physical,STAT1,P42224,BIOGRID
115,IFIT3,O14879,physical,CCDC67,E9PLX9,BIOGRID
116,SQSTM1,Q13501,physical,CD48,A0A087X1S7,BIOGRID
117,FANCC,A0A024R9N2,physical,EIF2AK2,P19525,BIOGRID
118,MTSS1,A5YM41,physical,SKP1,P63208,BIOGRID
119,HMG20B,Q9P0W2,physical,BRCA2,P51587,BIOGRID
120,GOLT1B,Q9Y3E0,physical,NDUFA13,Q9P0J0,BIOGRID
121,BRCA2,P51587,physical,SHFM1,B7ZVW6,BIOGRID
122,ENAH,Q8N8S7,physical,EVL,A0A024R6K5,BIOGRID
123,TRAF6,Q9Y4K3,physical,STAT3,P40763,BIOGRID
124,ERBB3,P21860,physical,TUBA4A,P68366,BIOGRID
125,SPP1,A0A024RDE2,physical,ITGAV,P06756,BIOGRID
126,PDIA3,P30101,physical,CALR,P27797,BIOGRID
127,STAT3,P40763,physical,ELP2,Q6IA86,BIOGRID
128,CRY2,A0A0D2X7Z3,physical,SKP1,P63208,BIOGRID
129,LMO2,P25791,physical,STAT1,P42224,BIOGRID
130,BRCA2,P51587,physical,MAGED1,Q9Y5V3,BIOGRID
131,SUZ12,J3QQW9,physical,RBBP4,Q09028,BIOGRID
132,CBX5,P45973,physical,RBBP4,Q09028,BIOGRID
133,MEF2D,Q14814,physical,MEF2A,A0A0S2Z417,BIOGRID
135,GHR,A0A087X0H5,physical,STAT3,P40763,BIOGRID
136,SKP1,P63208,physical,SKP2,A0A024R069,BIOGRID
137,IKBKB,O14920,physical,EIF2AK2,P19525,BIOGRID
138,ELP2,Q6IA86,physical,STAT1,P42224,BIOGRID
139,MAP1LC3A,Q9H492,physical,SQSTM1,Q13501,BIOGRID
140,GBP2,P32456,physical,SQSTM1,Q13501,BIOGRID
141,SQSTM1,Q13501,physical,PSMD12,A0A0S2Z489,BIOGRID
142,YWHAQ,P27348,physical,LMNA,P02545,BIOGRID
143,BRCA2,P51587,physical,FANCE,Q9HB96,BIOGRID
144,EED,E9PJK2,physical,SKP1,P63208,BIOGRID
145,TMEM25,A0A024R3G8,physical,ITGAV,P06756,BIOGRID
146,EIF2AK2,P19525,physical,GNL3,Q9BVP2,BIOGRID
147,AURKC,Q9UQB9,physical,CDC37,A0A024R7B7,BIOGRID
148,JAK1,P23458,physical,STAT3,P40763,BIOGRID
149,CALR,P27797,physical,NACA2,Q9H009,BIOGRID
150,LMNA,P02545,physical,GTF2A1,P52655,BIOGRID
151,SORT1,Q99523,physical,NOP2,P46087,BIOGRID
152,BLK,E9PJX5,physical,STAT3,P40763,BIOGRID
153,NAAA,Q02083,physical,TUBA4A,P68366,BIOGRID
154,ITCH,Q96J02,physical,MAP2K4,P45985,BIOGRID
155,STAT1,P42224,physical,EP300,Q09472,BIOGRID
156,ENAH,Q8N8S7,physical,RAC1,A4D2P0,BIOGRID
157,SORT1,Q99523,physical,TCIRG1,A0A024R5E5,BIOGRID
158,ARRB1,B7Z1Q3,physical,MAP2K4,P45985,BIOGRID
159,SORT1,Q99523,physical,MAP3K4,J3KNB8,BIOGRID
160,STUB1,Q9UNE7,physical,SQSTM1,Q13501,BIOGRID
161,SKP1,P63208,physical,FBXO30,Q8TB52,BIOGRID
163,EIF2S1,P05198,physical,EIF2AK2,P19525,BIOGRID
164,MAP3K14,Q68D39,physical,MAP3K8,P41279,BIOGRID
165,BRCA2,P51587,genetic,HDAC6,A0A024QZ26,BIOGRID
166,SQSTM1,Q13501,physical,PRKCI,P41743,BIOGRID
167,FBXW8,Q8N3Y1,physical,SKP1,P63208,BIOGRID
169,PRKCZ,Q05513,physical,SQSTM1,Q13501,BIOGRID
170,CREBBP,Q92793,physical,STAT1,P42224,BIOGRID
171,BICD1,A8MVZ6,physical,STAT3,P40763,BIOGRID
172,ELAVL1,Q15717,physical,SORT1,Q99523,BIOGRID
173,HTT,P42858,physical,SQSTM1,Q13501,BIOGRID
174,FAF1,Q9UNN5,physical,SKP1,P63208,BIOGRID
175,WDR1,O75083,physical,CALR,P27797,BIOGRID
176,GGA2,Q9UJY4,physical,RNF11,Q9Y3C5,BIOGRID
178,ACP5,A0A024R7F8,physical,CALR,P27797,BIOGRID
179,SKP1,P63208,physical,NUDT9P1,,BIOGRID
181,SPI1,P17947,physical,VAV1,A0A0A0MR07,BIOGRID
182,STAT3,P40763,physical,NFKBIZ,Q9BYH8,BIOGRID
183,STAT3,P40763,physical,DOK3,A0A024R7M5,BIOGRID
184,SKP1,P63208,physical,NFKBIA,P25963,BIOGRID
186,NDUFV2,P19404,physical,NDUFA13,Q9P0J0,BIOGRID
187,PTK2,Q05397,physical,STAT3,P40763,BIOGRID
188,AURKC,Q9UQB9,physical,BIRC5,A0A0B4J1S3,BIOGRID
189,SKP1,P63208,physical,TTC9C,Q8N5M4,BIOGRID
190,RBBP7,Q16576,physical,RBBP4,Q09028,BIOGRID
191,MAPT,A0A024R9Y0,physical,TUBA4A,P68366,BIOGRID
192,BRCA2,P51587,physical,AURKB,Q96GD4,BIOGRID
194,SQSTM1,Q13501,physical,MAPK1,P28482,BIOGRID
195,NCAPH2,Q6IBW4,physical,BRCA2,P51587,BIOGRID
196,CHEK2,O96017,physical,BRCA2,P51587,BIOGRID
198,DAZAP2,A0A024R110,physical,SQSTM1,Q13501,BIOGRID
199,BRCA2,P51587,physical,FANCD2,A0A024R2G2,BIOGRID
200,BRCA2,P51587,physical,PALB2,H3BN63,BIOGRID
201,TMPO,A0A024RBE7,physical,LMNA,P02545,BIOGRID
202,PHF6,Q8IWS0,physical,RBBP4,Q09028,BIOGRID
203,MSN,P26038,physical,CALR,P27797,BIOGRID
204,LMNA,P02545,physical,PCBP1,Q15365,BIOGRID
205,RARA,A8K840,physical,SQSTM1,Q13501,BIOGRID
206,ILF3,A0A024R7C7,physical,TUBA4A,P68366,BIOGRID
207,STAT3,P40763,physical,PAFAH1B2,P68402,BIOGRID
208,SORT1,Q99523,physical,PLCB3,Q01970,BIOGRID
209,IGF2R,P11717,physical,GGA2,Q9UJY4,BIOGRID
210,BTG1,P62324,physical,SKP1,P63208,BIOGRID
213,SORT1,Q99523,physical,SSH3,A0A024R5J4,BIOGRID
214,STAT3,P40763,physical,RELA,A0A087X0W8,BIOGRID
215,MTA2,A0A024R534,physical,RBBP4,Q09028,BIOGRID
216,XPO1,B3KWD0,physical,SQSTM1,Q13501,BIOGRID
217,LMNA,P02545,physical,TMEM230,A0A087WTT2,BIOGRID
218,SQSTM1,Q13501,physical,CUL3,A0A024R475,BIOGRID
219,FASLG,P48023,physical,TEC,P42680,BIOGRID
220,BRCA2,P51587,physical,RAD21,A0A024R9J0,BIOGRID
221,STAT3,P40763,physical,STAT1,P42224,BIOGRID
222,SKP1,P63208,physical,FBXO2,Q9UK22,BIOGRID
223,FCGR3B,A0A087WU90,physical,ITGAV,P06756,BIOGRID
224,FASLG,P48023,physical,SKAP2,B7Z5R3,BIOGRID
225,CCDC6,Q05CP8,physical,SKP1,P63208,BIOGRID
227,CHUK,O15111,physical,MAP3K8,P41279,BIOGRID
228,Nedd4,A0A0G2K8P3,physical,MAP3K8,P41279,BIOGRID
230,SKP1,P63208,physical,CENPE,Q02224,BIOGRID
231,IFIT3,O14879,physical,SNRPC,P09234,BIOGRID
232,SRC,P12931,physical,STAT1,P42224,BIOGRID
233,SKP1,P63208,physical,FBXL12,Q9NXK8,BIOGRID
234,BDKRB2,P30411,physical,NOS1,A0PJJ7,BIOGRID
236,TNPO1,A0A024RAM0,physical,TUBA4A,P68366,BIOGRID
237,PPP1CA,A0A140VJS9,physical,EIF2AK2,P19525,BIOGRID
238,FBXL22,A0A1W2PQW8,physical,SKP1,P63208,BIOGRID
239,MAP2K4,P45985,physical,NBR1,A0A024R1V3,BIOGRID
240,VDAC3,Q9Y277,physical,RAP2A,P10114,BIOGRID
241,Ercc6l,Q8BHK9,physical,NDUFA13,Q9P0J0,BIOGRID
242,ITGAV,P06756,physical,ITGB1,P05556,BIOGRID
243,EIF2AK2,P19525,physical,DICER1,Q9UPY3,BIOGRID
244,SQSTM1,Q13501,physical,AJUBA,Q96IF1,BIOGRID
245,CTNNBL1,Q8WYA6,physical,STAT1,P42224,BIOGRID
247,SKP1,P63208,physical,FBXO4,B3KNA0,BIOGRID
249,TAP1,A0A0S2Z5A6,physical,CALR,P27797,BIOGRID
250,EIF2AK2,P19525,physical,STAT1,P42224,BIOGRID
251,LIN37,Q96GY3,physical,RBBP4,Q09028,BIOGRID
252,Cdk1,P11440,physical,SKP1,P63208,BIOGRID
253,EGFR,B7Z2I3,physical,STAT3,P40763,BIOGRID
254,KLHL33,A0A1B0GUB7,physical,TUBA4A,P68366,BIOGRID
255,POLH,A0A024RD62,physical,TUBA4A,P68366,BIOGRID
256,Mad2l1,Q5HZH8,physical,BCCIP,Q9P287,BIOGRID
257,CKS1B,P61024,physical,SKP1,P63208,BIOGRID
258,SQSTM1,Q13501,physical,HDAC6,A0A024QZ26,BIOGRID
259,EIF2AK2,P19525,physical,TP53,A0A087WT22,BIOGRID
260,OBSL1,O75147,physical,RBBP4,Q09028,BIOGRID
261,FASLG,P48023,physical,NCKIPSD,Q9NZQ3,BIOGRID
262,AURKC,Q9UQB9,physical,CDK5,A0A090N7W4,BIOGRID
264,FASLG,P48023,physical,ITSN2,A6H8W8,BIOGRID
265,SKP1,P63208,physical,UBE2D1,A0A024QZJ2,BIOGRID
266,SQSTM1,Q13501,physical,GPC4,O75487,BIOGRID
267,RETN,Q9HD89,physical,SQSTM1,Q13501,BIOGRID
268,CALR,P27797,physical,ANP32B,Q92688,BIOGRID
269,EEF2,P13639,physical,CALR,P27797,BIOGRID
271,HIC1,A0PJI1,physical,STAT3,P40763,BIOGRID
272,PSMC3,A0A140VK42,physical,STAT1,P42224,BIOGRID
273,ISG15,P05161,physical,LMNA,P02545,BIOGRID
274,FBXO11,Q86XK2,physical,SKP1,P63208,BIOGRID
275,ATM,A0A024R3C7,physical,BRCA2,P51587,BIOGRID
276,PRODH,O43272,physical,TUBA4A,P68366,BIOGRID
277,USP11,B4DGK3,physical,BRCA2,P51587,BIOGRID
278,MARCKSL1,P49006,physical,BCCIP,Q9P287,BIOGRID
279,FASLG,P48023,physical,TRIP6,Q15654,BIOGRID
280,AI837181,E9QNR6,physical,CALR,P27797,BIOGRID
281,SORT1,Q99523,physical,SLC25A25,Q6KCM7,BIOGRID
282,CDK2,A0A024RB10,physical,SKP1,P63208,BIOGRID
283,CHD4,F5GWX5,physical,RBBP4,Q09028,BIOGRID
284,LMNA,P02545,physical,RBBP4,Q09028,BIOGRID
285,BRCA2,P51587,physical,RAD51,Q06609,BIOGRID
286,Itsn2,B2RR82,physical,BCCIP,Q9P287,BIOGRID
288,MAP2K4,P45985,physical,MAP3K1,Q13233,BIOGRID
289,FAS,K9J972,physical,SQSTM1,Q13501,BIOGRID
292,CYP1A1,A0N0X8,physical,EIF2AK2,P19525,BIOGRID
293,IL12RB1,P42701,physical,TUBA4A,P68366,BIOGRID
294,STAT3,P40763,physical,SULT2A1,A8K015,BIOGRID
295,MAP2K4,P45985,physical,MAPK10,A0A1P0B7D2,BIOGRID
296,STAT3,P40763,physical,NCOA1,Q15788,BIOGRID
298,RAP2A,P10114,physical,RUNDC3A,Q59EK9,BIOGRID
299,JAK3,A0A024R7M7,physical,TUBA4A,P68366,BIOGRID
300,S1PR1,P21453,physical,RAP2A,P10114,BIOGRID
301,IL2RB,P14784,physical,STAT3,P40763,BIOGRID
302,FBXW11,B4DH70,physical,SKP1,P63208,BIOGRID
303,ABCB1,A4D1D2,physical,BCCIP,Q9P287,BIOGRID
306,NDUFA13,Q9P0J0,physical,NDUFS7,F5H5N1,BIOGRID
307,Fbxw11,Q5SRY7,physical,SKP1,P63208,BIOGRID
310,SPI1,P17947,physical,SIN3A,Q96ST3,BIOGRID
311,ITGAV,P06756,physical,STAT1,P42224,BIOGRID
312,UBE3D,Q4G0J6,physical,TUBA4A,P68366,BIOGRID
313,RTF1,Q92541,physical,STAT1,P42224,BIOGRID
316,FBXO6,Q9NRD1,physical,RBBP4,Q09028,BIOGRID
317,Apbb1,P46933,physical,ENAH,Q8N8S7,BIOGRID
318,HDAC2,Q92769,physical,RBBP4,Q09028,BIOGRID
