,GO category,P-value,Z-score,Combined score
0,positive regulation of transcription from RNA polymerase II promoter (GO:0045944),6.015181379119896e-33,-7.770452474596514,576.4978071154287
1,positive regulation of transcription from RNA polymerase II promoter in response to nitrogen starvation (GO:0036278),5.856161765384095e-31,-6.608655127804344,460.04595331174755
2,positive regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle (GO:0010673),7.914569613030066e-30,-6.494855311741902,435.2127689507595
3,positive regulation of sulfate assimilation by positive regulation of transcription from RNA polymerase II promoter (GO:1900478),7.914569613030066e-30,-6.494046125695954,435.1585463264284
4,positive regulation of ethanol catabolic process by positive regulation of transcription from RNA polymerase II promoter (GO:0061425),7.914569613030066e-30,-6.490769881465212,434.93900897648274
5,positive regulation of filamentous growth of a population of unicellular organisms in response to starvation by positive regulation of transcription from RNA polymerase II promoter (GO:1904741),7.914569613030066e-30,-6.479550972234497,434.1872427990162
6,regulation of glycolytic process by positive regulation of transcription from RNA polymerase II promoter (GO:0072363),7.914569613030066e-30,-6.476627945634206,433.99137415539457
7,positive regulation of transcription from RNA polymerase II promoter involved in heart development (GO:1901228),7.914569613030066e-30,-6.474686292504587,433.86126621698435
8,positive regulation of SREBP signaling pathway (GO:2000640),1.0275793243930177e-29,-6.496760578781519,433.6442277859492
9,positive regulation of oligopeptide transport by positive regulation of transcription from RNA polymerase II promoter (GO:0035951),7.914569613030066e-30,-6.470116999270874,433.55508314362214
