,Symbol,name
0,PML,promyelocytic leukemia
1,ATF3,activating transcription factor 3
2,CEBPB,CCAAT/enhancer binding protein beta
3,SIN3A,SIN3 transcription regulator family member A
4,AKT1,AKT serine/threonine kinase 1
5,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit"
6,MYOD1,myogenic differentiation 1
7,UHRF2,ubiquitin like with PHD and ring finger domains 2
8,SP1,Sp1 transcription factor
9,TOP2A,DNA topoisomerase II alpha
10,EP300,E1A binding protein p300
11,NCOA1,nuclear receptor coactivator 1
12,NCOA3,nuclear receptor coactivator 3
13,CTBP1,C-terminal binding protein 1
14,CEBPA,CCAAT/enhancer binding protein alpha
15,HMGA1,high mobility group AT-hook 1
16,HDAC3,histone deacetylase 3
17,E2F1,E2F transcription factor 1
18,PIAS1,protein inhibitor of activated STAT 1
19,DNMT1,DNA methyltransferase 1
20,HDAC2,histone deacetylase 2
21,FOS,"Fos proto-oncogene, AP-1 transcription factor subunit"
22,SKI,SKI proto-oncogene
23,RUNX1,runt related transcription factor 1
24,HDAC1,histone deacetylase 1
25,CCND1,cyclin D1
26,FHL2,four and a half LIM domains 2
27,KLF5,Kruppel like factor 5
28,MBD3,methyl-CpG binding domain protein 3
29,FOXO1,forkhead box O1
30,HDAC4,histone deacetylase 4
31,DDX5,DEAD-box helicase 5
32,CHD4,chromodomain helicase DNA binding protein 4
33,KAT2B,lysine acetyltransferase 2B
34,CDK8,cyclin dependent kinase 8
35,CARM1,coactivator associated arginine methyltransferase 1
36,PIN1,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1"
37,KAT2A,lysine acetyltransferase 2A
38,NR0B2,nuclear receptor subfamily 0 group B member 2
39,XRCC5,X-ray repair cross complementing 5
40,PRKDC,"protein kinase, DNA-activated, catalytic polypeptide"
41,GATA1,GATA binding protein 1
42,MED1,mediator complex subunit 1
43,GSK3B,glycogen synthase kinase 3 beta
44,HDAC5,histone deacetylase 5
45,KMT2A,lysine methyltransferase 2A
46,SNAI1,snail family transcriptional repressor 1
47,KDM1A,lysine demethylase 1A
48,MTA1,metastasis associated 1
