#rank	DIAMOnD_node
1	5371
2	5594
3	7157
4	7415
5	4914
6	6117
7	1017
8	6667
9	672
10	2969
11	3725
12	5970
13	1387
14	4609
15	1051
16	2033
17	5925
18	3091
19	8841
20	6597
21	367
22	595
23	8648
24	2099
25	4088
26	5468
27	9611
28	3065
29	9612
30	861
31	7421
32	8202
33	4790
34	2113
35	6256
36	23054
37	2353
38	5914
39	10499
40	2908
41	1050
42	688
43	3066
44	142
45	7704
46	7329
47	10524
48	1869
49	6908
50	1026
51	8850
52	6595
53	4193
54	467
55	9759
56	3172
57	23411
58	860
59	4087
60	1499
61	2308
62	2274
63	10498
64	6599
65	10155
66	6598
67	25942
68	8431
69	5467
70	10891
71	4654
72	51341
73	2146
74	1786
75	8204
76	4772
77	1385
78	1487
79	602
80	207
81	2932
82	604
83	8554
84	4089
85	1052
86	1386
87	7528
88	29947
89	7376
90	5591
91	2547
92	10014
93	7068
94	4092
95	3308
96	3159
97	5451
98	5241
99	6996
100	7067
101	155871
102	8289
103	6601
104	2623
105	6605
106	3621
107	3164
108	6497
109	79718
110	4851
111	1108
112	23028
113	6602
114	4773
115	6839
116	1789
117	8467
118	7520
119	115426
120	9971
121	10013
122	8350
123	3276
124	23426
125	6304
126	9219
127	7181
128	64919
129	9112
130	1107
131	10320
132	5931
133	53615
134	1655
135	5430
136	1457
137	6421
138	7155
139	22938
140	5499
141	23512
142	6615
143	8726
144	3054
145	8290
146	4297
147	6878
148	1616
149	5971
150	472
151	7428
152	4691
153	7153
154	6604
155	6760
156	86
157	6603
158	5977
159	56916
160	10856
161	4841
162	5300
163	7161
164	7158
165	10048
166	7874
167	1788
168	7020
169	6657
170	80854
171	5469
172	2648
173	1111
174	1025
175	8607
176	6502
177	6886
178	6045
179	57459
180	29128
181	10919
182	1024
183	9126
184	51548
185	7150
186	1029
187	5111
188	1660
189	60
190	10987
191	3183
192	3190
193	10521
194	10236
195	3178
196	10432
197	9820
198	988
199	1994
200	23363
