SYMBOL_A,UNIPROT_AC_A,INTERACTION_TYPE,SYMBOL_B,UNIPROT_AC_B,SOURCE
STAT3,P40763,physical,STAT1,P42224,BIOGRID
EIF2AK2,P19525,physical,STAT1,P42224,BIOGRID
LMNA,P02545,physical,RBBP4,Q09028,BIOGRID
ITGAV,P06756,physical,STAT1,P42224,BIOGRID
MAP3K8,P41279,physical,MAP2K4,P45985,BIOGRID
SORT1,Q99523,physical,GGA2,Q9UJY4,BIOGRID
EIF2AK2,P19525,physical,STAT3,P40763,BIOGRID
STAT3,P40763,physical,NDUFA13,Q9P0J0,BIOGRID
BRCA2,P51587,physical,BCCIP,Q9P287,BIOGRID
AGFG1,P52594,,CLTC,Q00610,STRING
AURKC,Q9UQB9,,TUBA4A,P68366,STRING
CDK1,P06493,,TUBA4A,P68366,STRING
CDK1,P06493,,AURKC,Q9UQB9,STRING
BECN1,Q14457,,STAT3,P40763,STRING
BRCA2,P51587,,BRIP1,Q9BX63,STRING
CDK1,P06493,,BRCA2,P51587,STRING
POLD1,P28340,,BRIP1,Q9BX63,STRING
POLD1,P28340,,BRCA2,P51587,STRING
POLD1,P28340,,CDK1,P06493,STRING
CALR,P27797,,ITGAV,P06756,STRING
CAV1,Q03135,,CDC42,P60953,STRING
PTPN1,P18031,,STAT3,P40763,STRING
PTPN1,P18031,,CAV1,Q03135,STRING
SRF,P11831,,SPI1,P17947,STRING
CDC42,P60953,,SPI1,P17947,STRING
CDC42,P60953,,TUBA4A,P68366,STRING
CDC42,P60953,,MAP2K4,P45985,STRING
CDC42,P60953,,SRF,P11831,STRING
CDC42,P60953,,MEF2D,Q14814,STRING
ENAH,Q8N8S7,,CDC42,P60953,STRING
CDK1,P06493,,STAT3,P40763,STRING
CDK1,P06493,,SRF,P11831,STRING
CDK1,P06493,,CDC42,P60953,STRING
CDK1,P06493,,SKP1,P63208,STRING
CDK1,P06493,,LMNA,P02545,STRING
CDK1,P06493,,PTPN1,P18031,STRING
CDK1,P06493,,RBBP4,Q09028,STRING
CDK1,P06493,,SQSTM1,Q13501,STRING
GGA2,Q9UJY4,,CLTC,Q00610,STRING
FASLG,P48023,,CLTC,Q00610,STRING
UBE2L3,P68036,,SKP1,P63208,STRING
CUL2,Q13617,,SKP1,P63208,STRING
CUL2,Q13617,,UBE2L3,P68036,STRING
LMNA,P02545,,DCLK1,O15075,STRING
IFIT3,O14879,,EIF2AK2,P19525,STRING
IFIT3,O14879,,STAT1,P42224,STRING
ILF3,Q12906,,EIF2AK2,P19525,STRING
GGA2,Q9UJY4,,RABGEF1,Q9UJ41,STRING
ILF3,Q12906,,TUBA4A,P68366,STRING
ILF3,Q12906,,PTPN1,P18031,STRING
KIF3A,Q9Y496,,TUBA4A,P68366,STRING
MAP3K8,P41279,,SKP1,P63208,STRING
PPP3CA,Q08209,,MEF2D,Q14814,STRING
STAT6,P42226,,STAT3,P40763,STRING
STAT1,P42224,,STAT6,P42226,STRING
PTPN1,P18031,,STAT6,P42226,STRING
PTPN1,P18031,,STAT1,P42224,STRING
FASLG,P48023,,MAP2K4,P45985,STRING
STAT6,P42226,,SPI1,P17947,STRING
STAT1,P42224,,SPI1,P17947,STRING
CUL2,Q13617,,CLH1,Q00610,APID
CUL2,Q13617,,ILF3,Q12906,APID
CUL2,Q13617,,TBA4A,P68366,APID
CUL2,Q13617,,SQSTM,Q13501,APID
CAZA2,P47755,,CLH1,Q00610,APID
MK03,P27361,,SQSTM,Q13501,APID
MK03,P27361,,STAT3,P40763,APID
MK03,P27361,,HSF4,Q9ULV5,APID
MK03,P27361,,ITAV,P06756,APID
MK03,P27361,,CAV1,Q03135,APID
CDC42,P60953,,E2AK2,P19525,APID
CAV1,Q03135,,RABX5,Q9UJ41,APID
CAV1,Q03135,,CLH1,Q00610,APID
CAV1,Q03135,,SQSTM,Q13501,APID
E2AK2,P19525,,CDK1,P06493,APID
M3K8,P41279,,CLH1,Q00610,APID
ILF3,Q12906,,IFIT3,O14879,APID
CDK1,P06493,,SORT,Q99523,APID
FANCJ,Q9BX63,,LMNA,P02545,APID
LMNA,P02545,,BKRB2,P30411,APID
