"","name","module","connectivity","participation","role"
"4","ACLY",0,-0.0873704056661039,0,"Ultra peripheral"
"11","APEX2",0,-0.0873704056661039,0,"Ultra peripheral"
"12","AQR",0,-0.0873704056661039,0,"Ultra peripheral"
"14","ASPG",0,-0.0873704056661039,0,"Ultra peripheral"
"15","ATIC",0,-0.0873704056661039,0,"Ultra peripheral"
"71","CS",0,-0.0873704056661039,0,"Ultra peripheral"
"72","CYB5R4",0,-0.0873704056661039,0,"Ultra peripheral"
"73","DBF4B",0,-0.0873704056661039,0,"Ultra peripheral"
"75","DCLRE1A",0,-0.0873704056661039,0,"Ultra peripheral"
"76","DCLRE1B",0,-0.0873704056661039,0,"Ultra peripheral"
"77","DCLRE1C",0,-0.0873704056661039,0,"Ultra peripheral"
"78","DCTPP1",0,-0.0873704056661039,0,"Ultra peripheral"
"80","DDB2",0,-0.0873704056661039,0,"Ultra peripheral"
"87","DOT1L",0,-0.0873704056661039,0,"Ultra peripheral"
"88","DPYD",0,-0.0873704056661039,0,"Ultra peripheral"
"95","ENTPD1",0,-0.0873704056661039,0,"Ultra peripheral"
"96","ENTPD3",0,-0.0873704056661039,0,"Ultra peripheral"
"97","ENTPD8",0,-0.0873704056661039,0,"Ultra peripheral"
"104","EXD3",0,-0.0873704056661039,0,"Ultra peripheral"
"122","GART",0,-0.0873704056661039,0,"Ultra peripheral"
"123","GCK",0,-0.0873704056661039,0,"Ultra peripheral"
"128","GINS4",0,-0.0873704056661039,0,"Ultra peripheral"
"138","H2BFM",0,-0.0873704056661039,0,"Ultra peripheral"
"139","H2BFWT",0,-0.0873704056661039,0,"Ultra peripheral"
"144","HELZ2",0,-0.0873704056661039,0,"Ultra peripheral"
"148","HIST1H2BG",0,-0.0873704056661039,0,"Ultra peripheral"
"162","HMGN1",0,-0.0873704056661039,0,"Ultra peripheral"
"169","ITPA",0,-0.0873704056661039,0,"Ultra peripheral"
"227","NHEJ1",0,-0.0873704056661039,0,"Ultra peripheral"
"229","NTHL1",0,-0.0873704056661039,0,"Ultra peripheral"
"233","OGG1",0,-0.0873704056661039,0,"Ultra peripheral"
"243","PFAS",0,-0.0873704056661039,0,"Ultra peripheral"
