name,module,connectivity,participation,role
ACL6A,0,-0.3381163014,0,Ultra peripheral
BMPR2,0,-0.3381163014,0,Ultra peripheral
D3DR86,0,-0.3381163014,0,Ultra peripheral
HSP7C,0,-0.3381163014,0,Ultra peripheral
MAP2K1,0,-0.3381163014,0,Ultra peripheral
MAP3K14,0,-0.3381163014,0,Ultra peripheral
Nedd4,0,-0.3381163014,0,Ultra peripheral
PFKAL,0,-0.3381163014,0,Ultra peripheral
Q81U00,0,-0.3381163014,0,Ultra peripheral
Q9UQC1,0,-0.3381163014,0,Ultra peripheral
STIP1,0,-0.3381163014,0,Ultra peripheral
TBA3C,0,-0.3381163014,0,Ultra peripheral
TBB4A,0,-0.3381163014,0,Ultra peripheral
CHUK,0,-0.3381163014,0.5,Peripheral
DESP,0,-0.3381163014,0.5,Peripheral
HSP90AA1,0,-0.3381163014,0.5,Peripheral
M3K14,0,-0.3381163014,0.5,Peripheral
NEDD4,0,-0.3381163014,0.5,Peripheral
TRAF6,0,-0.3381163014,0.6666666667,Connector
ACY3,0,-0.0989608687,0,Ultra peripheral
KSR2,0,-0.0989608687,0,Ultra peripheral
TNIP2,0,-0.0989608687,0,Ultra peripheral
RIPK1,0,-0.0989608687,0.4444444444,Peripheral
XPO1,0,-0.0989608687,0.4444444444,Peripheral
TRAF2,0,-0.0989608687,0.5,Peripheral
TAB2,0,-0.0989608687,0.625,Connector
AKT1,0,-0.0989608687,0.64,Connector
MAP3K8,0,3.0100597567,0.1171875,Connector Hub
M3K8,0,4.2058369203,0.2268431002,Connector Hub
ALDOB,1,-0.2311769321,0,Ultra peripheral
CTIP,1,-0.2311769321,0,Ultra peripheral
CYLC2,1,-0.2311769321,0,Ultra peripheral
DUS22,1,-0.2311769321,0,Ultra peripheral
EFNA4,1,-0.2311769321,0,Ultra peripheral
F16P2,1,-0.2311769321,0,Ultra peripheral
Flna,1,-0.2311769321,0,Ultra peripheral
FLNC,1,-0.2311769321,0,Ultra peripheral
GEMIN5,1,-0.2311769321,0,Ultra peripheral
JIP3,1,-0.2311769321,0,Ultra peripheral
KTI12,1,-0.2311769321,0,Ultra peripheral
M3K12,1,-0.2311769321,0,Ultra peripheral
M3K2,1,-0.2311769321,0,Ultra peripheral
M3K20,1,-0.2311769321,0,Ultra peripheral
M4K2,1,-0.2311769321,0,Ultra peripheral
MAP2K6,1,-0.2311769321,0,Ultra peripheral
MAP2K7,1,-0.2311769321,0,Ultra peripheral
MAP3K1,1,-0.2311769321,0,Ultra peripheral
MAP3K10,1,-0.2311769321,0,Ultra peripheral
MAP3K11,1,-0.2311769321,0,Ultra peripheral
MAP3K2,1,-0.2311769321,0,Ultra peripheral
MAP4K2,1,-0.2311769321,0,Ultra peripheral
MAPK10,1,-0.2311769321,0,Ultra peripheral
MAPK8IP3,1,-0.2311769321,0,Ultra peripheral
MAPK9,1,-0.2311769321,0,Ultra peripheral
MK09,1,-0.2311769321,0,Ultra peripheral
MK10,1,-0.2311769321,0,Ultra peripheral
MK12,1,-0.2311769321,0,Ultra peripheral
MP2K6,1,-0.2311769321,0,Ultra peripheral
MP2K7,1,-0.2311769321,0,Ultra peripheral
NPHS1,1,-0.2311769321,0,Ultra peripheral
O52162,1,-0.2311769321,0,Ultra peripheral
RBBP8,1,-0.2311769321,0,Ultra peripheral
SH3R1,1,-0.2311769321,0,Ultra peripheral
SPAG9,1,-0.2311769321,0,Ultra peripheral
STX17,1,-0.2311769321,0,Ultra peripheral
BIRC2,1,-0.2311769321,0.5,Peripheral
ITCH,1,-0.2311769321,0.5,Peripheral
MAP3K5,1,-0.2311769321,0.5,Peripheral
MAP3K7,1,-0.2311769321,0.5,Peripheral
TRIB1,1,-0.2311769321,0.5,Peripheral
BLNK,1,-0.0324458852,0,Ultra peripheral
GCH1,1,-0.0324458852,0,Ultra peripheral
VASP,1,-0.0324458852,0,Ultra peripheral
LRRK2,1,-0.0324458852,0.4444444444,Peripheral
NBR1,1,-0.0324458852,0.4444444444,Peripheral
EGFR,1,-0.0324458852,0.64,Connector
MAP2K4,1,4.7370992412,0.1326530612,Connector Hub
MP2K4,1,4.9358302882,0.1284185493,Connector Hub
ACTN2,2,-0.2294157339,0,Ultra peripheral
ATN1,2,-0.2294157339,0,Ultra peripheral
ATX1,2,-0.2294157339,0,Ultra peripheral
DMWD,2,-0.2294157339,0,Ultra peripheral
HXA2,2,-0.2294157339,0,Ultra peripheral
LDB3,2,-0.2294157339,0,Ultra peripheral
PLM,2,-0.2294157339,0,Ultra peripheral
PPLA,2,-0.2294157339,0,Ultra peripheral
PPP1R12A,2,-0.2294157339,0,Ultra peripheral
Q7CFV7,2,-0.2294157339,0,Ultra peripheral
Q7CG08,2,-0.2294157339,0,Ultra peripheral
RS10,2,-0.2294157339,0,Ultra peripheral
TNNT2,2,-0.2294157339,0,Ultra peripheral
UBQL4,2,-0.2294157339,0,Ultra peripheral
CELF1,2,-0.2294157339,0.5,Peripheral
PIN1,2,-0.2294157339,0.5,Peripheral
RAC1,2,-0.2294157339,0.5,Peripheral
HS90B,2,-0.2294157339,0.6666666667,Connector
HS90A,2,-0.2294157339,0.75,Connector
DMPK,2,4.3588989435,0,Peripheral Hub
ATP6V1F,3,-0.1727566232,0,Ultra peripheral
CC124,3,-0.1727566232,0,Ultra peripheral
CCDC124,3,-0.1727566232,0,Ultra peripheral
CHMP4B,3,-0.1727566232,0,Ultra peripheral
CP1A1,3,-0.1727566232,0,Ultra peripheral
CYP1A1,3,-0.1727566232,0,Ultra peripheral
DNAJC3,3,-0.1727566232,0,Ultra peripheral
DNJC3,3,-0.1727566232,0,Ultra peripheral
EBNA1BP2,3,-0.1727566232,0,Ultra peripheral
EBP2,3,-0.1727566232,0,Ultra peripheral
EDC4,3,-0.1727566232,0,Ultra peripheral
EIF2S1,3,-0.1727566232,0,Ultra peripheral
ELF2,3,-0.1727566232,0,Ultra peripheral
ELMSAN1,3,-0.1727566232,0,Ultra peripheral
EMSA1,3,-0.1727566232,0,Ultra peripheral
