clustering_algo,index_module,n_seed_genes,n_genes,ratio_s/g,p_value
louvain,13,8,668,0.0119760479,0.0359347397
markov,0,1,36,0.0277777778,0.0249732551
markov,9,1,39,0.0256410256,0.0289939845
markov,13,1,27,0.037037037,0.0144685843
markov,37,1,42,0.0238095238,0.0332549471
markov,39,1,16,0.0625,0.005189896
markov,40,1,34,0.0294117647,0.0224318631
markov,47,1,11,0.0909090909,0.0024314038
markov,51,1,32,0.03125,0.0200057904
markov,54,1,34,0.0294117647,0.0224318631
markov,56,1,36,0.0277777778,0.0249732551
markov,57,1,30,0.0333333333,0.0176985836
markov,59,1,42,0.0238095238,0.0332549471
markov,60,1,49,0.0204081633,0.0440697897
markov,62,1,44,0.0227272727,0.036223563
markov,63,1,15,0.0666666667,0.0045610867
markov,64,1,46,0.0217391304,0.039290814
markov,65,1,27,0.037037037,0.0144685843
markov,66,1,30,0.0333333333,0.0176985836
annealing,0,8,534,0.0149812734,0.009591349
annealing,7,11,854,0.0128805621,0.011253429
annealing,16,6,421,0.0142517815,0.0237318864
