,cluster,ix
0,0,2
1,0,9
2,0,14
3,0,16
4,0,17
5,0,18
6,0,19
7,0,20
8,0,43
9,0,45
10,0,46
11,0,47
12,0,49
13,0,50
14,0,51
15,0,52
16,0,53
17,0,54
18,0,57
19,0,58
20,0,59
21,0,60
22,0,61
23,0,62
24,0,63
25,1,0
26,1,1
27,1,3
28,1,4
29,1,6
30,1,8
31,1,21
32,1,22
33,1,23
34,1,24
35,1,25
36,1,26
37,1,27
38,1,28
39,1,29
40,1,30
41,1,31
42,1,32
43,1,34
44,1,35
45,1,36
46,1,37
47,1,38
48,2,10
49,2,13
50,2,15
51,2,33
52,2,39
53,2,40
54,2,42
55,2,55
56,3,7
57,3,44
58,3,48
59,4,12
60,4,41
61,5,11
62,5,56
63,6,5
