,betweenness centrality,degree centrality,closeness centrality,eigenvalues centrality,ratio
STAT1,1.0,0.5294117647058824,1.0,0.13877500425817477,3.7414529914529915
SQSTM,0.8480868075385495,1.0,0.9225806451612903,1.0,1.6798642533936654
BRCA2,0.6362078812107368,0.7058823529411765,0.7258883248730964,0.02595184468199791,1.7852564102564101
FANCE,0.5939463163906339,0.11764705882352941,0.8461538461538461,0.03948076877350637,10.0
KS6B1,0.5345516847515706,0.11764705882352941,0.934640522875817,0.2729349399774816,9.0
MK01,0.3500856653340948,0.23529411764705882,0.7814207650273224,0.30428403573047963,2.9471153846153846
STAT3,0.34380354083380926,0.35294117647058826,0.8265895953757226,0.11482652142559402,1.9294871794871795
EP300,0.32495716733295266,0.17647058823529413,0.8362573099415205,0.0647264592227144,3.6474358974358974
IKBA,0.17133066818960593,0.11764705882352941,0.7566137566137566,0.03556922041890927,2.8846153846153846
SKP1,0.11764705882352942,0.17647058823529413,0.6033755274261603,0.009631568888323928,1.3205128205128205
MEF2D,0.059394631639063396,0.11764705882352941,0.6470588235294118,0.016458708755414178,1.0
BCCIP,0.059394631639063396,0.11764705882352941,0.5789473684210527,0.006599061008683257,1.0
MP2K4,0.059394631639063396,0.11764705882352941,0.6137339055793991,0.07737364878523269,1.0
ITAV,0.059394631639063396,0.11764705882352941,0.6137339055793991,0.07737364878523292,1.0
PGFRA,0.0,0.058823529411764705,0.7333333333333333,0.03326078225808384,0.0
KAT2B,0.0,0.058823529411764705,0.5742971887550201,0.00621998651542248,0.0
UBC,0.0,0.058823529411764705,0.6908212560386474,0.23967415771939773,0.0
HDAC5,0.0,0.058823529411764705,0.5238095238095238,0.00394472715810276,0.0
FUS,0.0,0.058823529411764705,0.6908212560386474,0.23967415771939773,0.0
CBL,0.0,0.058823529411764705,0.6355555555555555,0.02752094980652772,0.0
