,betweenness centrality,degree centrality,closeness centrality,eigenvalues centrality,ratio
CDK1,1.0,1.0,1.0,1.0,1.2467241122835793
CDC42,0.9007761900624165,0.9567839195979898,0.9147670961347869,0.7347220190108563,1.173744011493847
CUL2,0.6624471882223877,0.7427135678391958,0.8926499032882012,0.4498546761231611,1.1119884144221286
STAT3,0.5516198687215935,0.6331658291457286,0.9004878048780488,0.450207087058751,1.08615746380026
SKP1,0.480419365112232,0.6954773869346733,0.8784201760647157,0.5544181725174815,0.8612075931516204
RBBP4,0.4098609071818159,0.4974874371859296,0.8546296296296296,0.27916646864342165,1.0271284005811354
BDKRB2,0.4064779428428935,0.33065326633165826,0.7641361039821177,0.03458075982463057,1.5326201312808316
TUBA4A,0.37972078743591997,0.514572864321608,0.9127768987341773,0.45475102418549607,0.9200000514131068
ILF3,0.3284974832254715,0.36482412060301506,0.8619723571161749,0.16165961737340054,1.1225840344238502
PPP3CA,0.3144136781743872,0.42010050251256276,0.8094716071037052,0.23815604915514718,0.933079373786409
LMNA,0.31318202922849836,0.34271356783919593,0.856413825098585,0.19261792352947338,1.1392942212205404
CAV1,0.30042725663887665,0.33366834170854265,0.8716592690527907,0.19213594704423004,1.1225215521527114
STAT1,0.2986478728434332,0.46231155778894467,0.8517903285345146,0.3255602153492194,0.8053692318159305
MK03,0.28256052481796956,0.2834170854271357,0.8348030570252792,0.10525311336369177,1.2429561857188478
SQSTM1,0.2754375384770579,0.3366834170854271,0.8694423511680482,0.21815259718869603,1.019933276251186
CLTC,0.2732645358251815,0.378894472361809,0.815083009537266,0.1829905924744135,0.8991566536233625
RAP2A,0.23518892582387332,0.2844221105527638,0.7849306913853219,0.127709533663455,1.0309174072185994
CALR,0.2216192679516999,0.2723618090452261,0.8000693451220041,0.10713608752076802,1.0144523788801094
CAZA2,0.21824446568689881,0.22412060301507536,0.8267646005016124,0.07827404892752703,1.2140367020429665
POLD1,0.21436651300283863,0.4040201005025125,0.834463430069614,0.3239385875696569,0.6614915948349661
